away,3,0.0627484%
bear,3,0.0627484%
bed,3,0.0627484%
believe,3,0.0627484%
better,3,0.0627484%
black,3,0.0627484%
boots,3,0.0627484%
came,3,0.0627484%
car,3,0.0627484%
changed,3,0.0627484%
dead,3,0.0627484%
do,3,0.0627484%
don,3,0.0627484%
dressed,3,0.0627484%
drop,3,0.0627484%
everything,3,0.0627484%
expect,3,0.0627484%
explain,3,0.0627484%
eyed,3,0.0627484%
face,3,0.0627484%
finally,3,0.0627484%
five,3,0.0627484%
flying,3,0.0627484%
glasses,3,0.0627484%
ground,3,0.0627484%
haven,3,0.0627484%
hoping,3,0.0627484%
knowing,3,0.0627484%
live,3,0.0627484%
living,3,0.0627484%
map,3,0.0627484%
moment,3,0.0627484%
more,3,0.0627484%
most,3,0.0627484%
mysterious,3,0.0627484%
new,3,0.0627484%
news,3,0.0627484%
nor,3,0.0627484%
normally,3,0.0627484%
noticed,3,0.0627484%
old,3,0.0627484%
other,3,0.0627484%
our,3,0.0627484%
outside,3,0.0627484%
passed,3,0.0627484%
pocket,3,0.0627484%
realize,3,0.0627484%
room,3,0.0627484%
same,3,0.0627484%
saw,3,0.0627484%
seem,3,0.0627484%
shooting,3,0.0627484%
silver,3,0.0627484%
sky,3,0.0627484%
small,3,0.0627484%
stopped,3,0.0627484%
stupid,3,0.0627484%
such,3,0.0627484%
sure,3,0.0627484%
these,3,0.0627484%
time,3,0.0627484%
toward,3,0.0627484%
town,3,0.0627484%
tried,3,0.0627484%
twice,3,0.0627484%
upset,3,0.0627484%
voice,3,0.0627484%
wasn,3,0.0627484%
watching,3,0.0627484%
years,3,0.0627484%
yourself,3,0.0627484%
About,2,0.0418323%
After,2,0.0418323%
All,2,0.0418323%
At,2,0.0418323%
Could,2,0.0418323%
Even,2,0.0418323%
Famous,2,0.0418323%
Grunnings,2,0.0418323%
How,2,0.0418323%
In,2,0.0418323%
Instead,2,0.0418323%
Jim,2,0.0418323%
Kent,2,0.0418323%
Most,2,0.0418323%
My,2,0.0418323%
On,2,0.0418323%
Owls,2,0.0418323%
People,2,0.0418323%
Shooting,2,0.0418323%
Sirius,2,0.0418323%
There,2,0.0418323%
Was,2,0.0418323%
able,2,0.0418323%
across,2,0.0418323%
after,2,0.0418323%
allowed,2,0.0418323%
also,2,0.0418323%
always,2,0.0418323%
angrily,2,0.0418323%
anyone,2,0.0418323%
appeared,2,0.0418323%
arms,2,0.0418323%
asked,2,0.0418323%
aunt,2,0.0418323%
baby,2,0.0418323%
beard,2,0.0418323%
bent,2,0.0418323%
big,2,0.0418323%
bit,2,0.0418323%
blame,2,0.0418323%
blinked,2,0.0418323%
both,2,0.0418323%
broad,2,0.0418323%
broken,2,0.0418323%
bun,2,0.0418323%
bye,2,0.0418323%
c,2,0.0418323%
call,2,0.0418323%
careless,2,0.0418323%
child,2,0.0418323%
clothes,2,0.0418323%
collecting,2,0.0418323%
concentrate,2,0.0418323%
country,2,0.0418323%
dark,2,0.0418323%
different,2,0.0418323%
disappeared,2,0.0418323%
drops,2,0.0418323%
drove,2,0.0418323%
edge,2,0.0418323%
eleven,2,0.0418323%
emerald,2,0.0418323%
end,2,0.0418323%
enough,2,0.0418323%
ever,2,0.0418323%
every,2,0.0418323%
excitedly,2,0.0418323%
fact,2,0.0418323%
famous,2,0.0418323%
far,2,0.0418323%
feet,2,0.0418323%
find,2,0.0418323%
first,2,0.0418323%
fixed,2,0.0418323%
frightened,2,0.0418323%
funny,2,0.0418323%
gently,2,0.0418323%
great,2,0.0418323%
hadn,2,0.0418323%
handkerchief,2,0.0418323%
hands,2,0.0418323%
happening,2,0.0418323%
happy,2,0.0418323%
harder,2,0.0418323%
hardly,2,0.0418323%
heart,2,0.0418323%
high,2,0.0418323%
holding,2,0.0418323%
home,2,0.0418323%
however,2,0.0418323%
huge,2,0.0418323%
hugged,2,0.0418323%
hurried,2,0.0418323%
imagining,2,0.0418323%
important,2,0.0418323%
instead,2,0.0418323%
involved,2,0.0418323%
isn,2,0.0418323%
jerked,2,0.0418323%
kind,2,0.0418323%
kiss,2,0.0418323%
knew,2,0.0418323%
known,2,0.0418323%
knows,2,0.0418323%
lamp,2,0.0418323%
lay,2,0.0418323%
least,2,0.0418323%
let,2,0.0418323%
life,2,0.0418323%
low,2,0.0418323%
m,2,0.0418323%
markings,2,0.0418323%
may,2,0.0418323%
mean,2,0.0418323%
mention,2,0.0418323%
mood,2,0.0418323%
moon,2,0.0418323%
moved,2,0.0418323%
mustache,2,0.0418323%
nearly,2,0.0418323%
neck,2,0.0418323%
neighbors,2,0.0418323%
nonsense,2,0.0418323%
nose,2,0.0418323%
notice,2,0.0418323%
office,2,0.0418323%
older,2,0.0418323%
open,2,0.0418323%
opened,2,0.0418323%
overhead,2,0.0418323%
perfectly,2,0.0418323%
picked,2,0.0418323%
point,2,0.0418323%
pretended,2,0.0418323%
problems,2,0.0418323%
pulled,2,0.0418323%
quite,2,0.0418323%
rather,2,0.0418323%
reached,2,0.0418323%
reading,2,0.0418323%
roar,2,0.0418323%
ruffled,2,0.0418323%
rumors,2,0.0418323%
screaming,2,0.0418323%
secret,2,0.0418323%
seems,2,0.0418323%
sense,2,0.0418323%
set,2,0.0418323%
several,2,0.0418323%
sharp,2,0.0418323%
should,2,0.0418323%
sight,2,0.0418323%
since,2,0.0418323%
smile,2,0.0418323%
snapped,2,0.0418323%
soon,2,0.0418323%
sorry,2,0.0418323%
sounding,2,0.0418323%
spectacles,2,0.0418323%
sped,2,0.0418323%
spoke,2,0.0418323%
spotted,2,0.0418323%
standing,2,0.0418323%
stare,2,0.0418323%
stared,2,0.0418323%
staring,2,0.0418323%
stiffly,2,0.0418323%
stood,2,0.0418323%
strange,2,0.0418323%
tall,2,0.0418323%
tea,2,0.0418323%
telephone,2,0.0418323%
thank,2,0.0418323%
thin,2,0.0418323%
thing,2,0.0418323%
thinking,2,0.0418323%
times,2,0.0418323%
tiny,2,0.0418323%
together,2,0.0418323%
tonight,2,0.0418323%
traffic,2,0.0418323%
true,2,0.0418323%
trust,2,0.0418323%
twelve,2,0.0418323%
uncle,2,0.0418323%
uneasy,2,0.0418323%
us,2,0.0418323%
usual,2,0.0418323%
waiting,2,0.0418323%
walk,2,0.0418323%
want,2,0.0418323%
